DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2007-01-01,25.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2007-01-01,10.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2007-01-01,12.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2007-01-01,22.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2007-01-01,23.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2007-01-01,22.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2007-01-01,17.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2007-01-01,30.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EL,2007-01-01,21.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2007-01-01,18.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2007-01-01,20.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2007-01-01,17.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2007-01-01,16.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2007-01-01,17.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2007-01-01,24.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2007-01-01,5.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2007-01-01,22.6,,
