DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,AT,2010-01-01,14.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,BE,2010-01-01,3.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,BG,2010-01-01,11.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CH,2010-01-01,6.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CY,2010-01-01,-0.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CZ,2010-01-01,13.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,DE,2010-01-01,11.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,DK,2010-01-01,14.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,EL,2010-01-01,3.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,ES,2010-01-01,8.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,FI,2010-01-01,14.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,FR,2010-01-01,9.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,HR,2010-01-01,1.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,HU,2010-01-01,8.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IE,2010-01-01,3.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IS,2010-01-01,11.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IT,2010-01-01,3.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,LT,2010-01-01,9.0,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,LU,2010-01-01,-3.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,LV,2010-01-01,15.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,MT,2010-01-01,5.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,NL,2010-01-01,4.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,NO,2010-01-01,9.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,PL,2010-01-01,4.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,PT,2010-01-01,6.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,RO,2010-01-01,2.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SE,2010-01-01,10.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SI,2010-01-01,-4.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SK,2010-01-01,16.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,UK,2010-01-01,10.2,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,AT,2010-01-01,25.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,BE,2010-01-01,9.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,BG,2010-01-01,19.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CH,2010-01-01,17.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CY,2010-01-01,13.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CZ,2010-01-01,29.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,DE,2010-01-01,23.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,DK,2010-01-01,19.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,EL,2010-01-01,10.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,ES,2010-01-01,13.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,FI,2010-01-01,21.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,FR,2010-01-01,13.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,HR,2010-01-01,10.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,HU,2010-01-01,22.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,IE,2010-01-01,14.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,IS,2010-01-01,20.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,IT,2010-01-01,4.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,LT,2010-01-01,17.2,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,LU,2010-01-01,6.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,LV,2010-01-01,18.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,MT,2010-01-01,10.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,NL,2010-01-01,16.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,NO,2010-01-01,16.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,PL,2010-01-01,9.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,PT,2010-01-01,15.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,RO,2010-01-01,10.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,SE,2010-01-01,16.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,SI,2010-01-01,3.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,SK,2010-01-01,27.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,UK,2010-01-01,26.6,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,AT,2010-01-01,28.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,BE,2010-01-01,11.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,BG,2010-01-01,17.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,CH,2010-01-01,22.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,CY,2010-01-01,29.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,CZ,2010-01-01,21.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,DE,2010-01-01,27.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,DK,2010-01-01,19.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,EL,2010-01-01,18.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,ES,2010-01-01,18.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,FI,2010-01-01,22.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,FR,2010-01-01,19.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,HR,2010-01-01,9.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,HU,2010-01-01,21.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,IE,2010-01-01,17.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,IS,2010-01-01,22.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,IT,2010-01-01,6.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,LT,2010-01-01,12.5,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,LU,2010-01-01,14.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,LV,2010-01-01,12.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,MT,2010-01-01,6.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,NL,2010-01-01,24.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,NO,2010-01-01,20.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,PL,2010-01-01,4.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,PT,2010-01-01,10.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,RO,2010-01-01,11.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,SE,2010-01-01,18.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,SI,2010-01-01,4.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,SK,2010-01-01,21.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y45-54,UK,2010-01-01,30.9,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,AT,2010-01-01,36.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,BE,2010-01-01,17.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,BG,2010-01-01,7.6,,
