DATAFLOW,LAST UPDATE,freq,unit,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,AT,2010-01-01,21.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,BE,2010-01-01,3.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,BG,2010-01-01,14.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,CH,2010-01-01,19.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,CY,2010-01-01,16.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,DE,2010-01-01,20.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,DK,2010-01-01,19.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,EL,2010-01-01,13.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,ES,2010-01-01,10.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,FI,2010-01-01,19.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,FR,2010-01-01,13.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,HR,2010-01-01,5.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,HU,2010-01-01,18.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IE,2010-01-01,10.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IS,2010-01-01,16.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IT,2010-01-01,-1.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LT,2010-01-01,13.7,b,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LU,2010-01-01,10.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LV,2010-01-01,17.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,MT,2010-01-01,4.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NL,2010-01-01,15.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NO,2010-01-01,13.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PL,2010-01-01,4.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PT,2010-01-01,11.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,RO,2010-01-01,8.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SE,2010-01-01,13.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SK,2010-01-01,18.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,UK,2010-01-01,17.2,b,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,AT,2010-01-01,17.6,,
