DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,AT,2014-01-01,0.04,d,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BA,2014-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BE,2014-01-01,0.15,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BG,2014-01-01,0.04,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CH,2014-01-01,0.48,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CY,2014-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CZ,2014-01-01,1.41,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DE,2014-01-01,3.83,d,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DK,2014-01-01,0.31,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA20,2014-01-01,3.15,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA21,2014-01-01,3.15,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EE,2014-01-01,1.33,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EL,2014-01-01,0.12,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,ES,2014-01-01,1.26,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EU27_2020,2014-01-01,3.08,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FI,2014-01-01,2.14,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FR,2014-01-01,6.63,d,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HR,2014-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HU,2014-01-01,0.15,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IE,2014-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IS,2014-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IT,2014-01-01,0.83,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,JP,2014-01-01,4.42,d,
