DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,AT,2010-01-01,552,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BE,2010-01-01,850,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BG,2010-01-01,776,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CH,2010-01-01,327,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CY,2010-01-01,60,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CZ,2010-01-01,802,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DE,2010-01-01,3648,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DK,2010-01-01,255,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EE,2010-01-01,79,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EL,2010-01-01,1258,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,ES,2010-01-01,2479,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EU27_2020,2010-01-01,29611,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FI,2010-01-01,272,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FR,2010-01-01,3992,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HR,2010-01-01,426,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HU,2010-01-01,740,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IE,2010-01-01,212,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IS,2010-01-01,8,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IT,2010-01-01,4114,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LI,2010-01-01,0,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LT,2010-01-01,299,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LU,2010-01-01,32,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LV,2010-01-01,218,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,MT,2010-01-01,13,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NL,2010-01-01,537,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NO,2010-01-01,208,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PL,2010-01-01,3908,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PT,2010-01-01,937,,
