DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,AT,2010-01-01,0.7,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,BE,2010-01-01,1.0,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,BG,2010-01-01,0.5,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,CH,2010-01-01,0.3,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,CY,2010-01-01,1.0,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,CZ,2010-01-01,0.3,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,DE,2010-01-01,0.5,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,DK,2010-01-01,0.5,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,EE,2010-01-01,0.0,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,EL,2010-01-01,0.8,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,ES,2010-01-01,0.9,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,EU27_2020,2010-01-01,0.5,b,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,FI,2010-01-01,0.1,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,FR,2010-01-01,0.4,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,HR,2010-01-01,0.8,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,HU,2010-01-01,0.4,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,IE,2010-01-01,0.2,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,MWAY,RT,IS,2010-01-01,0.0,,
