DATAFLOW,LAST UPDATE,freq,sex,isced11,iscedf13,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,AT,2015-01-01,25.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BE,2015-01-01,26.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BG,2015-01-01,37.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CH,2015-01-01,22.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CY,2015-01-01,41.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CZ,2015-01-01,34.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DE,2015-01-01,26.8,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DK,2015-01-01,32.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EE,2015-01-01,40.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EL,2015-01-01,38.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ES,2015-01-01,29.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EU27_2020,2015-01-01,33.2,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FI,2015-01-01,27.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FR,2015-01-01,31.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HR,2015-01-01,35.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HU,2015-01-01,31.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IE,2015-01-01,30.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IS,2015-01-01,34.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2015-01-01,40.5,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2015-01-01,44.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LT,2015-01-01,30.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LU,2015-01-01,23.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LV,2015-01-01,31.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MK,2015-01-01,45.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MT,2015-01-01,29.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NL,2015-01-01,,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NO,2015-01-01,29.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PL,2015-01-01,43.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PT,2015-01-01,39.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RO,2015-01-01,41.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RS,2015-01-01,40.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SE,2015-01-01,33.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SI,2015-01-01,33.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SK,2015-01-01,35.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,TR,2015-01-01,34.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,UK,2015-01-01,38.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,AT,2016-01-01,25.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BE,2016-01-01,27.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BG,2016-01-01,38.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CH,2016-01-01,22.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CY,2016-01-01,42.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CZ,2016-01-01,35.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DE,2016-01-01,27.1,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DK,2016-01-01,33.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EE,2016-01-01,38.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EL,2016-01-01,39.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ES,2016-01-01,29.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EU27_2020,2016-01-01,33.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FI,2016-01-01,27.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FR,2016-01-01,31.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HR,2016-01-01,37.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HU,2016-01-01,31.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IE,2016-01-01,29.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IS,2016-01-01,35.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2016-01-01,39.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2016-01-01,47.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LT,2016-01-01,29.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LU,2016-01-01,27.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LV,2016-01-01,31.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MK,2016-01-01,47.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MT,2016-01-01,26.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NO,2016-01-01,28.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PL,2016-01-01,44.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PT,2016-01-01,39.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RO,2016-01-01,41.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RS,2016-01-01,41.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SE,2016-01-01,35.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SI,2016-01-01,29.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SK,2016-01-01,36.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,TR,2016-01-01,33.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,UK,2016-01-01,37.8,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,AT,2017-01-01,26.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BE,2017-01-01,25.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BG,2017-01-01,36.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CH,2017-01-01,22.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CY,2017-01-01,38.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CZ,2017-01-01,35.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DE,2017-01-01,27.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DK,2017-01-01,34.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EE,2017-01-01,38.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EL,2017-01-01,40.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ES,2017-01-01,29.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EU27_2020,2017-01-01,33.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FI,2017-01-01,27.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FR,2017-01-01,32.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HR,2017-01-01,38.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HU,2017-01-01,31.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IE,2017-01-01,29.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IS,2017-01-01,38.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2017-01-01,39.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2017-01-01,47.1,,
