DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2010-01-01,9296.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2010-01-01,1226.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2010-01-01,1665.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2010-01-01,9142.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2010-01-01,14321.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2010-01-01,21603.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2010-01-01,12991.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2010-01-01,3480.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2010-01-01,3673.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2010-01-01,4020.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2011-01-01,9337.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2011-01-01,1224.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2011-01-01,1673.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2011-01-01,9152.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2011-01-01,14551.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2011-01-01,21700.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2011-01-01,12474.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2011-01-01,3499.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2011-01-01,3695.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2011-01-01,4097.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2012-01-01,9213.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2012-01-01,1194.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2012-01-01,1711.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2012-01-01,9272.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2012-01-01,14752.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2012-01-01,21343.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2012-01-01,11996.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2012-01-01,3572.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2012-01-01,3721.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2012-01-01,4189.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2013-01-01,9052.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2013-01-01,1201.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2013-01-01,1611.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2013-01-01,9290.7,,
