DATAFLOW,LAST UPDATE,freq,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,AT,2011-01-01,12.2,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,BE,2011-01-01,9.1,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,BG,2011-01-01,5.6,u,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,CH,2011-01-01,16.0,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,CY,2011-01-01,1.0,u,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,CZ,2011-01-01,13.0,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,DE,2011-01-01,276.4,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,DK,2011-01-01,15.4,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,EE,2011-01-01,3.5,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,EL,2011-01-01,11.3,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,ES,2011-01-01,52.9,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,EU27_2020,2011-01-01,744.8,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,FI,2011-01-01,19.3,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,FR,2011-01-01,84.8,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,HR,2011-01-01,7.5,u,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,HU,2011-01-01,11.2,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,IE,2011-01-01,3.8,,
ESTAT:CULT_EMP_N2(1.0),20/05/25 23:00:00,A,J58,THS_PER,IS,2011-01-01,0.9,,
