DATAFLOW,LAST UPDATE,freq,frequenc,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,AT,2007-01-01,62.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,BE,2007-01-01,31.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,BG,2007-01-01,42.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,CY,2007-01-01,32.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,CZ,2007-01-01,46.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,EE,2007-01-01,64.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,EL,2007-01-01,32.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,ES,2007-01-01,46.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,FI,2007-01-01,78.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,HR,2007-01-01,62.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,HU,2007-01-01,60.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,LT,2007-01-01,58.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,LV,2007-01-01,58.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,MT,2007-01-01,31.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,PL,2007-01-01,42.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,PT,2007-01-01,44.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,RO,2007-01-01,35.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,SI,2007-01-01,61.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,SK,2007-01-01,65.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-34,PC,TR,2007-01-01,43.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,AT,2007-01-01,66.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,BE,2007-01-01,35.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,BG,2007-01-01,44.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,CY,2007-01-01,35.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,CZ,2007-01-01,49.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,EE,2007-01-01,68.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,EL,2007-01-01,31.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,ES,2007-01-01,47.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,FI,2007-01-01,82.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,HR,2007-01-01,61.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,HU,2007-01-01,62.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,LT,2007-01-01,61.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,LV,2007-01-01,58.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,MT,2007-01-01,32.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,PL,2007-01-01,43.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,PT,2007-01-01,43.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,RO,2007-01-01,35.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,SI,2007-01-01,63.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,SK,2007-01-01,66.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-44,PC,TR,2007-01-01,42.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,AT,2007-01-01,71.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,BE,2007-01-01,42.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,BG,2007-01-01,44.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,CY,2007-01-01,39.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,CZ,2007-01-01,54.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,EE,2007-01-01,70.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,EL,2007-01-01,30.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,ES,2007-01-01,49.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,FI,2007-01-01,88.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,HR,2007-01-01,57.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,HU,2007-01-01,63.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,LT,2007-01-01,64.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,LV,2007-01-01,61.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,MT,2007-01-01,33.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,PL,2007-01-01,46.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,PT,2007-01-01,40.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,RO,2007-01-01,33.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,SI,2007-01-01,67.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,SK,2007-01-01,68.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y25-64,PC,TR,2007-01-01,40.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,AT,2007-01-01,69.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,BE,2007-01-01,38.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,BG,2007-01-01,46.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,CY,2007-01-01,37.8,,
