DATAFLOW,LAST UPDATE,freq,nrg_bal,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,DE,2020-01-01,572184.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,ES,2020-01-01,399000.937,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,FR,2020-01-01,254245.777,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,IT,2020-01-01,368967.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,NL,2020-01-01,418087.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,PL,2020-01-01,,,C
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,DE,2020-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,ES,2020-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,FR,2020-01-01,4847.753,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,IT,2020-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,NL,2020-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,PL,2020-01-01,6843.447,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,DE,2021-01-01,567881.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,ES,2021-01-01,412276.858,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,FR,2021-01-01,255613.6,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,IT,2021-01-01,414979.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,NL,2021-01-01,424294.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,PL,2021-01-01,,,C
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,DE,2021-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,ES,2021-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,FR,2021-01-01,4735.349,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,IT,2021-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,NL,2021-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,PL,2021-01-01,6483.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,DE,2022-01-01,614023.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,ES,2022-01-01,464159.511,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,FR,2022-01-01,310200.605,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,IT,2022-01-01,459474.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,NL,2022-01-01,464134.0,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,PL,2022-01-01,,,C
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,DE,2022-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,ES,2022-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,FR,2022-01-01,4378.473,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,IT,2022-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,NL,2022-01-01,0.0,n,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,PRD,VOL_THS_BBL,PL,2022-01-01,6234.537,,
ESTAT:NRG_CB_COSM(1.0),21/04/26 23:00:00,A,IMP,VOL_THS_BBL,DE,2023-01-01,546621.0,,
