id,name
A00_MD60,At risk of poverty rate anchored at 2000 (cut-off point: 60% of median equivalised income)
A25DI,Housing cost burden over 25 % of disposable household income
A40DI,Housing cost burden over 40 % of disposable household income
A50DI,Housing cost burden over 50 % of disposable household income
A60DI,Housing cost burden over 60 % of disposable household income
A75DI,Housing cost burden over 75 % of disposable household income
A97_MD60,At risk of poverty rate anchored at 1997 (cut-off point: 60% of median equivalised income)
A98_M40,At risk of poverty rate anchored at 1998 (cut-off point: 40% of mean equivalised income)
A98_M50,At risk of poverty rate anchored at 1998 (cut-off point: 50% of mean equivalised income)
A98_M60,At risk of poverty rate anchored at 1998 (cut-off point: 60% of mean equivalised income)
A98_MD40,At risk of poverty rate anchored at 1998 (cut-off point: 40% of median equivalised income)
A98_MD50,At risk of poverty rate anchored at 1998 (cut-off point: 50% of median equivalised income)
A98_MD60,At risk of poverty rate anchored at 1998 (cut-off point: 60% of median equivalised income)
A98_MD70,At risk of poverty rate anchored at 1998 (cut-off point: 70% of median equivalised income)
A99_MD60,At risk of poverty rate anchored at 1999 (cut-off point: 60% of median equivalised income)
GINI_HND,Gini coefficient (scale from 0 to 100)
LIP_M40,At persistent risk of poverty rate by age and gender (cut-off point: 40% of mean equivalised income)
LIP_M50,At persistent risk of poverty rate by age and gender (cut-off point: 50% of mean equivalised income)
LIP_M60,At persistent risk of poverty rate by age and gender (cut-off point: 60% of mean equivalised income)
LIP_MD40,At persistent risk of poverty rate by age and gender (cut-off point: 40% of median equivalised income)
LIP_MD50,At persistent risk of poverty rate by age and gender (cut-off point: 50% of median equivalised income)
LIP_MD60,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income)
LIP_MD70,At persistent risk of poverty rate by age and gender (cut-off point: 70% of median equivalised income)
LI_C_M40,At risk of poverty threshold (40% of mean equivalised income)
LI_C_M50,At risk of poverty threshold (50% of mean equivalised income)
LI_C_M60,At risk of poverty threshold (60% of mean equivalised income)
LI_C_MD40,At risk of poverty threshold (40% of median equivalised income)
LI_C_MD50,At risk of poverty threshold (50% of median equivalised income)
LI_C_MD60,At risk of poverty threshold (60% of median equivalised income)
LI_C_MD70,At risk of poverty threshold (70% of median equivalised income)
LI_GAP_M40,Relative poverty gap (cut-off point: 40% of mean equivalised income)
LI_GAP_M50,Relative poverty gap (cut-off point: 50% of mean equivalised income)
LI_GAP_M60,Relative poverty gap (cut-off point: 60% of mean equivalised income)
LI_GAP_MD40,Relative poverty gap (cut-off point: 40% of median equivalised income)
LI_GAP_MD50,Relative poverty gap (cut-off point: 50% of median equivalised income)
LI_GAP_MD60,Relative poverty gap (cut-off point: 60% of median equivalised income)
LI_GAP_MD70,Relative poverty gap (cut-off point: 70% of median equivalised income)
LI_GE130M,Having income of 130% of mean income or more
LI_GE130MD,Having income of 130% of median income or more
LI_GE140M,Having income of 140% of mean income or more
LI_GE140MD,Having income of 140% of median income or more
LI_GE150M,Having income of 150% of mean income or more
LI_GE150MD,Having income of 150% of median income or more
LI_GE160MD,Having income of 160% of median income or more
LI_R_M40,At risk of poverty rate (cut-off point: 40% of mean equivalised income)
LI_R_M40BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 40% of mean equivalised income after social transfers)
LI_R_M40BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 40% of mean equivalised income after social transfers)
LI_R_M50,At risk of poverty rate (cut-off point: 50% of mean equivalised income)
LI_R_M50BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 50% of mean equivalised income after social transfers)
LI_R_M50BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 50% of mean equivalised income after social transfers)
LI_R_M60,At risk of poverty rate (cut-off point: 60% of mean equivalised income)
LI_R_M60BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of mean equivalised income after social transfers)
LI_R_M60BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 60% of mean equivalised income after social transfers)
LI_R_MD40,At risk of poverty rate (cut-off point: 40% of median equivalised income)
LI_R_MD40BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 40% of median equivalised income after social transfers)
LI_R_MD40BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 40% of median equivalised income after social transfers)
LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income)
LI_R_MD50BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 50% of median equivalised income after social transfers)
LI_R_MD50BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 50% of median equivalised income after social transfers)
LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)
LI_R_MD60BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)
LI_R_MD60BTP,At risk of poverty rate before social transfers (pensions included in social transfers) (cut-off point: 60% of median equivalised income after social transfers)
LI_R_MD70,At risk of poverty rate (cut-off point: 70% of median equivalised income)
LI_R_MD70BT,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 70% of median equivalised income after social transfers)
