DATAFLOW,LAST UPDATE,freq,unit,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,AT,2014-01-01,9.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,BE,2014-01-01,23.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,BG,2014-01-01,1.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,CH,2014-01-01,24.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,CY,2014-01-01,5.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,CZ,2014-01-01,2.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,DE,2014-01-01,12.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,DK,2014-01-01,6.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EA20,2014-01-01,14.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EE,2014-01-01,5.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EL,2014-01-01,5.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,ES,2014-01-01,20.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EU27_2020,2014-01-01,11.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,FI,2014-01-01,9.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,FR,2014-01-01,13.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,HR,2014-01-01,0.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,HU,2014-01-01,5.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IE,2014-01-01,13.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IS,2014-01-01,1.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IT,2014-01-01,9.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LT,2014-01-01,6.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LU,2014-01-01,19.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LV,2014-01-01,1.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,ME,2014-01-01,1.9,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,MK,2014-01-01,0.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,MT,2014-01-01,12.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,NL,2014-01-01,38.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,NO,2014-01-01,10.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,PL,2014-01-01,0.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,PT,2014-01-01,3.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,RO,2014-01-01,2.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,RS,2014-01-01,2.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,SE,2014-01-01,18.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,SI,2014-01-01,3.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,SK,2014-01-01,0.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,TR,2014-01-01,0.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,UK,2014-01-01,25.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,AT,2014-01-01,6.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,BE,2014-01-01,25.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,BG,2014-01-01,10.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,CH,2014-01-01,5.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,CY,2014-01-01,18.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,CZ,2014-01-01,1.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,DE,2014-01-01,15.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,DK,2014-01-01,63.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,EA20,2014-01-01,17.9,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,EE,2014-01-01,13.9,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,EL,2014-01-01,7.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,ES,2014-01-01,16.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,EU27_2020,2014-01-01,16.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,FI,2014-01-01,20.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,FR,2014-01-01,25.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,HR,2014-01-01,16.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,HU,2014-01-01,8.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,IE,2014-01-01,9.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,IS,2014-01-01,41.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,IT,2014-01-01,13.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,LT,2014-01-01,16.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,LU,2014-01-01,29.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,LV,2014-01-01,18.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,ME,2014-01-01,4.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,MK,2014-01-01,5.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,MT,2014-01-01,6.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,NL,2014-01-01,6.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,NO,2014-01-01,44.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,PL,2014-01-01,5.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,PT,2014-01-01,38.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,RO,2014-01-01,0.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,RS,2014-01-01,9.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,SE,2014-01-01,31.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,SI,2014-01-01,34.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,SK,2014-01-01,5.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,TR,2014-01-01,0.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC103,UK,2014-01-01,3.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,AT,2015-01-01,13.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,BE,2015-01-01,23.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,BG,2015-01-01,0.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,CY,2015-01-01,8.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,CZ,2015-01-01,1.2,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,DE,2015-01-01,9.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,DK,2015-01-01,7.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EA20,2015-01-01,14.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EE,2015-01-01,3.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EL,2015-01-01,4.9,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,ES,2015-01-01,19.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,EU27_2020,2015-01-01,12.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,FI,2015-01-01,7.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,FR,2015-01-01,16.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,HR,2015-01-01,2.3,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,HU,2015-01-01,4.6,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IE,2015-01-01,15.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IS,2015-01-01,2.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,IT,2015-01-01,10.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LT,2015-01-01,2.0,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LU,2015-01-01,16.9,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,LV,2015-01-01,0.8,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,ME,2015-01-01,0.7,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,MK,2015-01-01,0.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,MT,2015-01-01,11.4,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,NL,2015-01-01,41.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,NO,2015-01-01,6.5,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,PL,2015-01-01,1.1,,
ESTAT:TPS00185(1.0),23/04/26 23:00:00,A,PC,SC102,PT,2015-01-01,3.9,,
