id,name
GDP,Gross domestic product
GVA,"Value added, gross"
B5N,"Primary incomes, net"
B6N,"Disposable income, net"
B7G,"Adjusted disposable income, gross"
B7N,"Adjusted disposable income, net"
EMPW,Employment at place of work
PPP_GDP,Purchasing Power Parities for GDP
PPP_INC,Purchasing Power Parities for income
EXC,"Exchange rates, period-average"
LAB_PROD,Labour productivity
X,Exports
X1,Exports of domestic products
X2,Re-exports
M,Imports
M1,Imports of foreign products
M2,Re-imports
TB,Trade balance
TO,Trade openness
LAND_AREA,Land area
POP_DEN,Population density
URB_AREA,Urbanised area
LAU_POP,Mean local administrative unit population
TERR_FRAG,Territorial fragmentation
LAU_C,Number of local administrative units
POP,Population
DEPEND_RATIO,Dependency ratio
FERT_RATIO,Fertility rate
LIVE_BIRTHS,Live births
CHILD_TO_W_RATIO,Child-to-woman ratio
INMOB,New residents in the region coming from another region of the same country
OUTMOB,Persons who left the region to reside in another region of the same country
NETMOB,Net inter-regional mobility (inflows minus outflows)
INMIG,New residents in the region coming from another country
OUTMIG,Persons who left the region to reside in another country
NETMIG,Net international migration (inflows minus outflows)
PT_ACCESS,Access to public transport
DOWN_SPEED,Downloading speed
UP_SPEED,Uploading speed
LF,Labour force
EMP,Employment
UNE,Unemployment
LF_RATE,Labour force participation rate
EMP_RATIO,Employment to population ratio
UNE_RATE,Unemployment rate
EMP_CFT,Fixed-term employment contracts
EMP_PT,Part-time employment
EMP_RATIO_SEXDIF,"Employment to population ratio, gender difference"
LF_RATE_SEXDIF,"Labour force participation rate, gender difference"
UNE_LT,Long-term unemployment
UNE_LT_RATE,Long-term unemployment rate
UNE_RATE_SEXDIF,"Long-term unemployment rate, gender difference"
INA,Inactives
INA_RATE,Inactives rate
DOC,Active physicians
NURSES_P,Practising nurses
HB,Hospital beds
HB_CURAT,Curative hospital beds
H_DISCHARGE_T,Hospital discharges
LFEXP,Life expectancy
LFEXPDFM,Life expectancy difference (female-male)
MORT,Deaths
MORT_CRUDE_RATIO,Crude mortality rate
MORT_STANDARD_RATIO,Age-adjusted mortality rate
MORT_INFANT,Infant mortality rate
MORT_INFANT_DFM,Infant mortality rate difference (female-male)
