id,name
_T,Total - All activities
A_B,Total Primary sector
A_F_HTU,All ISIC activities (except industry; wholesale and retail trade; repair of motor vehicles and motorcycles)
ATC,"Agriculture, mining and manufacturing"
ATN,Agriculture and business economy
ATN_RTU,Agriculture and business economy; Arts and other services
ATS,"Total economy, except activities of households and extraterritorial organisations"
ATSXO_S94,"Agriculture, industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)"
ATU,All ISIC/NACE activities
ATU_HH,All ISIC activities and activities of households
ATUXFPRV,Activities other than financial and insurance
A,"Agriculture, forestry and fishing"
A01_02,"Crop and animal production, hunting and related service activities; Forestry and logging"
A01,"Crop and animal production, hunting and related service activities"
A011T013_0161_0163_0164,Growing of crops and related service activities
A011,Growing of non-perennial crops
A0111,"Growing of cereals (except rice), leguminous crops and oil seeds"
A0112,Growing of rice
A0113,"Growing of vegetables and melons, roots and tubers"
A0114,Growing of sugar cane
A0115,Growing of tobacco
A0116,Growing of fibre crops
A0119,Growing of other non-perennial crops
A012,Growing of perennial crops
A0121,Growing of grapes
A0122,Growing of tropical and subtropical fruits
A0123,Growing of citrus fruits
A0124,Growing of pome fruits and stone fruits
A0125,Growing of other tree and bush fruits and nuts
A0126,Growing of oleaginous fruits
A0127,Growing of beverage crops
A0128,"Growing of spices, aromatic, drug and pharmaceutical crops"
A0129,Growing of other perennial crops
A013,Plant propagation
A0130,Plant propagation
A014_015_0162_017,"Animal production, hunting and related service activities"
A014,Animal production
A0141,Raising of cattle and buffaloes
A0142,Raising of horses and other equines
A0143,Raising of camels and camelids
A0144,Raising of sheep and goats
A0145,Raising of swine/pigs
A0146,Raising of poultry
A0149,Raising of other animals
A015,Mixed farming
A0150,Mixed farming
A016,Support activities to agriculture and post-harvest crop activities
A0161,Support activities for crop production
A0162,Support activities for animal production
A0163,Post-harvest crop activities
A0164,Seed processing for propagation
A017,"Hunting, trapping and related service activities"
A0170,"Hunting, trapping and related service activities"
A02,Forestry and logging
A021,Silviculture and other forestry activities
A0210,Silviculture and other forestry activities
A022,Logging
A0220,Logging
A023,Gathering of non-wood forest products
A0230,Gathering of non-wood forest products
A024,Support services to forestry
A0240,Support services to forestry
A03,Fishing and aquaculture
A031,Fishing
A0311,Marine fishing
A0312,Freshwater fishing
A032,Aquaculture
A0321,Marine aquaculture
A0322,Freshwater aquaculture
A_X,"Agriculture, forestry and fishing - Non specified"
B_D_E,"Mining and quarrying; Energy, water supply and waste management services"
BTD,"Mining and quarrying, manufacturing and energy"
BTE,Industry (except construction)
BTF,Industry (including construction)
BTE_G46_H_J_K_M71T73,Economic activities covered by CIS regulation
BTN,Business economy
BTN_95XK,"Total business economy; repair of computers, personal and household goods; except financial and insurance activities"
BTNX642,Business economy except activities of holding companies
BTNXK,Business economy except financial and insurance activities
BTNXL,Business economy excluding real estate
BTS,"Total economy, except agriculture, activities of households and extraterritorial organisations"
BTSX642,"Industry, construction and services except insurance activities of holding companies"
BTSXK,"Industry, construction and services, except financial and insurance activities"
BTSXK_O,"Industry, construction and market services (except financial and insurance activities; public administration and defence; compulsory social security)"
BTSXO,"Industry, construction and market services (except public administration and defence; compulsory social security)"
BTSXO_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)"
BTU,"Total economy, except agriculture"
B,Mining and quarrying
B05_06,Mining and extraction of energy producing products
B05,Mining of coal and lignite
B051,Mining of hard coal
B0510,Mining of hard coal
B052,Mining of lignite
B0520,Mining of lignite
B06_09,Extraction of crude petroleum and natural gas; mining support service activities
B06,Extraction of crude petroleum and natural gas
B061,Extraction of crude petroleum
B0610,Extraction of crude petroleum
B062,Extraction of natural gas
B0620,Extraction of natural gas
B07_08,Mining and quarrying of non-energy producing products
B07,Mining of metal ores
B071,Mining of iron ores
B0710,Mining of iron ores
B072,Mining of non-ferrous metal ores
B0721,Mining of uranium and thorium ores
B0729,Mining of other non-ferrous metal ores
B08,Other mining and quarrying
B081,"Quarrying of stone, sand and clay"
B0810,"Quarrying of stone, sand and clay"
B089,Mining and quarrying n.e.c.
B0891,Mining of chemical and fertilizer minerals
B0892,Extraction of peat
B0893,Extraction of salt
B0899,Other mining and quarrying n.e.c.
B09,Mining support service activities
B091,Support activities for petroleum and natural gas extraction
B0910,Support activities for petroleum and natural gas extraction
B099,Support activities for other mining and quarrying
B0990,Support activities for other mining and quarrying
B_X,Mining and quarrying - Non specified
CTU,"Total economy, except agriculture and mining"
C,Manufacturing
C10_11,Manufacture of food products and beverages
C10T12,Manufacture of food products; beverages and tobacco products
C10T18_31_32,Manufacture of food products and others
C10T18_31T33,Low technology manufacturing
C10,Manufacture of food products
C101,Processing and preserving of meat
C1010,Processing and preserving of meat
C102,"Processing and preserving of fish, crustaceans and molluscs"
C1020,"Processing and preserving of fish, crustaceans and molluscs"
C103,Processing and preserving of fruit and vegetables
C1030,Processing and preserving of fruit and vegetables
C104,Manufacture of vegetable and animal oils and fats
C1040,Manufacture of vegetable and animal oils and fats
C105,Manufacture of dairy products
C1050,Manufacture of dairy products
C106,"Manufacture of grain mill products, starches and starch products"
C1061,Manufacture of grain mill products
C1062,Manufacture of starches and starch products
C107,Manufacture of other food products
C1071,Manufacture of bakery products
C1072,Manufacture of sugar
C1073,"Manufacture of cocoa, chocolate and sugar confectionery"
C1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
C1075,Manufacture of prepared meals and dishes
C1079,Manufacture of other food products n.e.c.
C108,Manufacture of prepared animal feeds
C1080,Manufacture of prepared animal feeds
C11,Manufacture of beverages
C110,Manufacture of beverages
C1101,"Distilling, rectifying and blending of spirits"
C1102,Manufacture of wines
C1103,Manufacture of malt liquors and malt
C1104,Manufacture of soft drinks; production of mineral waters and other bottled waters
C12,Manufacture of tobacco products
C120,Manufacture of tobacco products
C1200,Manufacture of tobacco products
C13_14,Manufacture of textiles and wearing apparel
C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
C13T15_C26T33,"Various manufacturing (C13, C14, C15, C26, C27, C28, C29, C30, C31, C32, C33)"
C13T18X15,"Manufacture of textiles, wearing apparel, wood and paper products; printing and reproduction"
C13,Manufacture of textiles
C131,"Spinning, weaving and finishing of textiles"
C1311,Preparation and spinning of textile fibres
C1312,Weaving of textiles
C1313,Finishing of textiles
C139,Manufacture of other textiles
C1391,Manufacture of knitted and crocheted fabrics
C1392,"Manufacture of made-up textile articles, except apparel"
C1393,Manufacture of carpets and rugs
C1394,"Manufacture of cordage, rope, twine and netting"
C1399,Manufacture of other textiles n.e.c.
C14,Manufacture of wearing apparel
C141,"Manufacture of wearing apparel, except fur apparel"
C1410,"Manufacture of wearing apparel, except fur apparel"
C142,Manufacture of articles of fur
C1420,Manufacture of articles of fur
C143,Manufacture of knitted and crocheted apparel
C1430,Manufacture of knitted and crocheted apparel
C15_23_27_31T33,"Other manufacturing (C15, C23, C27, C31, C32, C33)"
C15,Manufacture of leather and related products
C151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
C1511,Tanning and dressing of leather; dressing and dyeing of fur
C1512,"Manufacture of luggage, handbags and the like, saddlery and harness"
C152,Manufacture of footwear
C1520,Manufacture of footwear
C16T18,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials; manufacture of paper and paper products; printing and reproduction of recorded media"
C16T18_31_32,"Manufacture of wood, paper, printing, furniture and other manufacturing products"
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
C161,Sawmilling and planing of wood
C1610,Sawmilling and planing of wood
C162,"Manufacture of products of wood, cork, straw and plaiting materials"
C1621,Manufacture of veneer sheets and wood-based panels
C1622,Manufacture of builders' carpentry and joinery
C1623,Manufacture of wooden containers
C1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
C17_18,Manufacture of paper and paper products; printing and reproduction of recorded media
