id,name
AES_AL_FNFAET12,Participation in formal and/or non-formal training - 12-month reference period
AIR_TEMP2M,Air temperature
AIR_TEMP2M_DIFF_1981_2010,Air temperature change compared to 1981-2010 average
AIR_TEMP2M_PROJ,Projected air temperature
AIR_TEMP2M_PROJ_DIFF_1981_2010,Projected air temperature change compared to 1981-2010 average
AL_FNFAET12,Participation in formal and/or non-formal training - 12-month reference period
AL_FNFAET4,Participation in formal and/or non-formal training - 4-week reference period
AREA,Area
ASSAULT,Assault
B5N,"Primary incomes, net"
B6N,"Disposable income, net"
B7G,"Adjusted disposable income, gross"
B7N,"Adjusted disposable income, net"
BB_ACC,Share of households with internet broadband access
BURGLARLY,Burglary
BURG_RESID,Burglary of private residential premises
CDD,Cooling degree days
CDD_DIFF_1981_2010,Cooling degree days days change compared to 1981-2010 average
CF_BUILT_EXP,Built-up area exposure to coastal flooding
CF_CROP_EXP,Cropland exposure to coastal flooding
CF_LAND_EXP,Land exposure to coastal flooding
CF_POP_EXP,Population exposure to coastal flooding
CHILD_TO_W_RATIO,Child-to-woman ratio
CHURN_RA,Churn rate
CROP_MOIST_ANOM,Cropland soil moisture anomaly
DAY_LAND_TEMP_SUMMER,Daytime summer land surface temperature
DAY_LAND_TEMP_WINTER,Daytime winter land surface temperature
DAY_LAND_TEMP_YEARLY,Daytime yearly land surface temperature
DEPEND_RATIO,Dependency ratio
DOC,Active physicians
DOWN_SPEED,Downloading speed
EARLY_LEAVERS_RATE,Early leavers from education and training
ELEC_CARB_INTENS,Carbon intensity of electricity
ELEC_COAL,Gross electricity generation from coal
ELEC_FOSSIL,Gross electricity generation from fossil fuels
ELEC_GAS,Gross electricity generation from gas
ELEC_HYDRO,Gross electricity generation from hydro power
ELEC_NUCL,Gross electricity generation from nuclear
ELEC_OIL,Gross electricity generation from oil
ELEC_OTHER,Gross electricity generation from other sources
ELEC_OTHERRES,"Gross electricity generation from other renewable sources (biomass, geothermal, waste, wave and tidal)"
ELEC_RES,Gross electricity generation from renewable energy sources
ELEC_SOLAR,Gross electricity generation from solar power
ELEC_TOT,Total gross electricity generation
ELEC_WIND,Gross electricity generation from wind power
EMP,Employment
EMPW,Employment at place of work
EMP_AVG,Average employment size
EMP_CFT,Fixed-term employment contracts
EMP_PT,Part-time employment
EMP_RATIO,Employment to population ratio
EMP_RATIO_SEXDIF,"Employment to population ratio, gender difference"
EMP_RD_RSE,Researchers
EMP_RD_T,R&D personnel
ENE_CONS_BIO_WASTE,Biofuels and waste
ENE_CONS_COAL,Coal
ENE_CONS_ELEC,Electricity
ENE_CONS_GAS,Natural gas
ENE_CONS_HEAT,District heating
ENE_CONS_OIL,Oil
ENE_CONS_OTHER,Other fuels
ENE_CONS_RENEW,Renewables
ENE_CONS_T,"All fuels, total final energy consumption"
ENRL_RATE,Enrolment rate
ENT,Enteprises
EST,Establishments
EXC,"Exchange rates, period-average"
EXT_PRECIP_DAYS,Extreme precipitation days
EXT_PRECIP_DAYS_DIFF_1981_2010,Change in extreme precipitation days compared to 1981-2010 average
EXT_PRECIP_DAYS_PROJ,Projected extreme precipitation days
EXT_PRECIP_DAYS_PROJ_DIFF_1981_2010,Projected cummulated extrem precipitation change compared to 1981-2010 average
FERT_RATIO,Fertility rate
FIRE,Wildfires
FIRE_BUILT_EXP,Built-up area exposure to wildfires
FIRE_CROP_EXP,Cropland area exposure to wildfires
FIRE_FOR_EXP,Forest exposure to wildfires
FIRE_LAND_EXP,Land exposure to wildfires
FIRE_POP_EXP,Population exposure to wildfires
FOREST_MOIST_ANOM,Forest soil moisture anomaly
GDP,Gross domestic product
GERD,Gross Domestic Expenditure on R&D (GERD)
GHG_AGRICULTURE,GHG emissions from agriculture
GHG_BUILDINGS,GHG emissions from buildings
GHG_CTRY_TOTAL,GHG emissions total country (incl. aviation and shipping)
GHG_DOM_AVIATION,GHG emissions from domestic aviation
GHG_DOM_SHIPPING,GHG emissions from domestic shipping
GHG_INDUSTRY,GHG emissions from industries
GHG_INTL_AVIATION,GHG emissions from international aviation
GHG_INTL_SHIPPING,GHG emissions from international shipping
GHG_MANUFACT,GHG emissions from manufacturing
GHG_POWER,GHG emissions from power generation
GHG_REG_TOTAL,GHG emissions total regions (excl. aviation and shipping)
GHG_ROAD_TRANSPORT,GHG emissions from road transport
GHG_TRANSPORT,GHG emissions from ground transport
GHG_WASTE,GHG emissions from waste
GREEN_AREA,Green area in FUAs' urban centres
GVA,"Value added, gross"
HB,Hospital beds
HB_CURAT,Curative hospital beds
HDD,Heating degree days
HDD_DIFF_1981_2010,Heating degree degree days change compared to 1981-2010 average
HOME_OWN,Homeowners
HOME_OWN_MORTGAGE,Homeowners with a morgage
HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage)
HOMIC,Intentional homicides
HOT_DAYS,Hot days
HOT_DAYS_DIFF_1981_2010,Hot days change compared to 1981-2010 average
HOT_DAYS_PROJ,Projected number of hot days
HOT_DAYS_PROJ_DIFF_1981_2010,Projected number of hot days change compared to 1981-2010 average
HOUSE_COST,Cost of housing
H_DISCHARGE_T,Hospital discharges
ICING_DAYS,Icing days
ICING_DAYS_DIFF_1981_2010,Icing days change compared to 1981-2010 average
ICING_DAYS_PROJ,Projected number of icing days
ICING_DAYS_PROJ_DIFF_1981_2010,Projected number of icing days change compared to 1981-2010 average
INA,Inactives
INA_RATE,Inactives rate
INMIG,New residents in the region coming from another country
INMOB,New residents in the region coming from another region of the same country
LAB_PROD,Labour productivity
LAND_AREA,Land area
LAND_MOIST_ANOM,Land soil moisture anomaly
LAU_C,Number of local administrative units
