DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2000-01-01,77,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2001-01-01,76,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2002-01-01,75,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2003-01-01,75,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2004-01-01,72,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2005-01-01,72,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2006-01-01,72,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2007-01-01,70,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2008-01-01,69,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2009-01-01,70,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2010-01-01,67,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2011-01-01,66,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2012-01-01,65,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2013-01-01,63,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2014-01-01,60,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2015-01-01,60,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2016-01-01,60,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2017-01-01,60,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2018-01-01,58,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2019-01-01,58,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2020-01-01,57,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2021-01-01,59,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2022-01-01,61,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2023-01-01,60,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_HAB_EU27_2020,ITG1,2024-01-01,61,,
