DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,1999-01-01,43.1,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2000-01-01,43.8,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2001-01-01,45.8,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2002-01-01,46.5,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2003-01-01,46.1,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2004-01-01,47.8,b,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2005-01-01,48.2,b,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2006-01-01,49.1,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2007-01-01,48.6,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2008-01-01,48.3,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2009-01-01,47.7,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2010-01-01,46.7,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2011-01-01,46.3,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2012-01-01,45.0,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2013-01-01,42.8,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2014-01-01,42.4,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2015-01-01,43.4,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2016-01-01,43.5,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2017-01-01,44.0,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2018-01-01,44.3,b,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2019-01-01,44.7,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2020-01-01,44.4,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2021-01-01,44.5,b,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2022-01-01,46.2,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2023-01-01,48.7,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2024-01-01,50.7,,
ESTAT:LFST_R_LFE2EMPRT(1.0),17/04/26 11:00:00,A,PC,T,Y20-64,ITG1,2025-01-01,51.4,,
