DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,1999-01-01,24.3,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2000-01-01,23.9,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2001-01-01,21.0,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2002-01-01,20.7,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2003-01-01,20.8,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2004-01-01,17.2,b,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2005-01-01,16.1,b,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2006-01-01,13.4,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2007-01-01,12.9,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2008-01-01,13.7,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2009-01-01,13.8,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2010-01-01,14.6,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2011-01-01,14.3,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2012-01-01,18.4,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2013-01-01,21.0,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2014-01-01,22.2,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2015-01-01,21.4,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2016-01-01,22.1,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2017-01-01,21.5,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2018-01-01,21.3,b,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2019-01-01,19.9,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2020-01-01,18.1,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2021-01-01,18.7,b,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2022-01-01,16.6,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2023-01-01,15.8,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2024-01-01,13.0,,
ESTAT:LFST_R_LFU3RT(1.0),17/04/26 11:00:00,A,TOTAL,T,Y15-74,PC,ITG1,2025-01-01,12.2,,
