DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,EDU_LEV_HIGHEST,CITIZENSHIP,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_CITIZENSHIP,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2004-01-01,18.839478,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2004-01-01,66.981196,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2004-01-01,51.578778,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2004-01-01,38.008987,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2004-01-01,47.67088,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2005-01-01,17.709083,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2005-01-01,66.804432,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2005-01-01,52.415748,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2005-01-01,37.550795,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2005-01-01,47.365612,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2006-01-01,19.206328,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2006-01-01,68.763795,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2006-01-01,53.147159,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2006-01-01,38.439647,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2006-01-01,47.953162,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2007-01-01,21.647361,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2007-01-01,70.211793,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2007-01-01,53.878278,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2007-01-01,39.679042,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2007-01-01,48.782587,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2008-01-01,21.77508,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2008-01-01,69.746769,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2008-01-01,54.510037,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2008-01-01,39.913122,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2008-01-01,48.785882,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2009-01-01,23.578462,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2009-01-01,70.405534,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2009-01-01,56.097424,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2009-01-01,40.451631,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2009-01-01,49.412271,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2010-01-01,23.732986,,,,,,,,,TIME__2010_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2010-01-01,71.219634,,,,,,,,,TIME__2010_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2010-01-01,57.324077,,,,,,,,,TIME__2010_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2010-01-01,40.725569,,,,,,,,,TIME__2010_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2010-01-01,49.936401,,,,,,,,,TIME__2010_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2011-01-01,23.293025,,,,,,,,,TIME__2011_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2011-01-01,71.83109,,,,,,,,,TIME__2011_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2011-01-01,57.978675,,,,,,,,,TIME__2011_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2011-01-01,41.858021,,,,,,,,,TIME__2011_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2011-01-01,50.491705,,,,,,,,,TIME__2011_N2,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2012-01-01,24.401246,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2012-01-01,71.023573,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,4,TOTAL,2012-01-01,56.702125,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,7,TOTAL,2012-01-01,40.993303,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,99,TOTAL,2012-01-01,49.271633,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,11,TOTAL,2013-01-01,24.889175,,,,,,,,,,,,
IT1:152_1196_DF_DCCV_TAXINATT1_UNT2020_3(1.0),A,ITG1,INAC_R,9,Y15-64,3,TOTAL,2013-01-01,71.794535,,,,,,,,,,,,
