DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2000-01-01,39.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2001-01-01,37.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2002-01-01,35.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2003-01-01,35.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2004-01-01,33.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2005-01-01,33.8,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2006-01-01,32.8,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2007-01-01,31.6,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2008-01-01,32.5,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2009-01-01,32.0,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2010-01-01,33.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2011-01-01,35.4,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2012-01-01,37.4,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2013-01-01,39.5,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2014-01-01,40.3,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2015-01-01,39.3,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2016-01-01,38.1,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2017-01-01,37.6,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2018-01-01,38.4,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2019-01-01,38.0,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2020-01-01,38.3,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2021-01-01,36.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2022-01-01,32.4,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2023-01-01,27.9,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2024-01-01,25.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,A,T,Y15-29,NO_FE_NO_NFE,NEMP,PC,ITG1,2025-01-01,22.8,,
