DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1990-01-01,1.75,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1991-01-01,1.7,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1992-01-01,1.7,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1993-01-01,1.63,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1994-01-01,1.54,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1995-01-01,1.49,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1996-01-01,1.45,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1997-01-01,1.45,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1998-01-01,1.44,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,1999-01-01,1.44,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2000-01-01,1.41,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2001-01-01,1.4,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2002-01-01,1.4,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2003-01-01,1.43,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2004-01-01,1.44,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2005-01-01,1.43,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2006-01-01,1.42,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2007-01-01,1.41,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2008-01-01,1.44,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2009-01-01,1.44,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2010-01-01,1.42,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2011-01-01,1.41,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2012-01-01,1.41,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2013-01-01,1.37,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2014-01-01,1.4,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2015-01-01,1.38,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2016-01-01,1.35,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2017-01-01,1.37,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2018-01-01,1.37,b,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2019-01-01,1.33,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2020-01-01,1.33,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2021-01-01,1.35,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2022-01-01,1.35,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2023-01-01,1.32,,
ESTAT:DEMO_R_FIND2(1.0),20/04/26 23:00:00,A,TOTFERRT,NR,ITG1,2024-01-01,1.27,,
