DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2000-01-01,-22659,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2012-01-01,-3477,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2013-01-01,-6639,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2014-01-01,-8699,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2015-01-01,-14056,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2016-01-01,-18152,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2017-01-01,-22833,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2018-01-01,-22306,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2019-01-01,-19469,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2020-01-01,-23522,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2021-01-01,21213,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2022-01-01,3343,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2023-01-01,4640,,
ESTAT:DEMO_R_GIND3(1.0),20/04/26 23:00:00,A,CNMIGRAT,ITG1,2024-01-01,9121,,
