DATAFLOW,FREQ,REF_AREA,DATA_TYPE,CHANGE_OF_RESIDENCE,CITIZENSHIP,SEX,AGE,TERRITORY_NEXT_RESID,COUNTRY_PREV_RESID,COUNTRY_NEXT_RESID,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_CHANGE_OF_RESIDENCE,NOTE_CITIZENSHIP,NOTE_SEX,NOTE_AGE,NOTE_TERRITORY_NEXT_RESID,NOTE_COUNTRY_PREV_RESID,NOTE_COUNTRY_NEXT_RESID,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,IT,X1033,X1033,2002-01-01,87592,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITC,X1033,X1033,2002-01-01,13569,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITC1,X1033,X1033,2002-01-01,3461,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITC2,X1033,X1033,2002-01-01,79,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITC3,X1033,X1033,2002-01-01,992,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITC4,X1033,X1033,2002-01-01,9037,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITCD,X1033,X1033,2002-01-01,23344,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD,X1033,X1033,2002-01-01,9775,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD1,X1033,X1033,2002-01-01,125,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD2,X1033,X1033,2002-01-01,325,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD3,X1033,X1033,2002-01-01,3281,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD4,X1033,X1033,2002-01-01,1103,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITD5,X1033,X1033,2002-01-01,4941,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITDA,X1033,X1033,2002-01-01,450,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITE,X1033,X1033,2002-01-01,7047,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITE1,X1033,X1033,2002-01-01,3145,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITE2,X1033,X1033,2002-01-01,402,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITE3,X1033,X1033,2002-01-01,964,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITE4,X1033,X1033,2002-01-01,2536,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITF,X1033,X1033,2002-01-01,2753,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITF1,X1033,X1033,2002-01-01,270,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_1(1.0),A,ITG1,CORE,ALL,TOTAL,9,TOTAL,ITF2,X1033,X1033,2002-01-01,63,,,,,,,,,,,,,,
