DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2004-01-01,7.2,b,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2005-01-01,7.0,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2006-01-01,7.0,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2007-01-01,6.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2008-01-01,5.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2009-01-01,6.2,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2010-01-01,6.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2011-01-01,7.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2012-01-01,6.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2013-01-01,8.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2014-01-01,9.4,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2015-01-01,8.7,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2016-01-01,9.5,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2017-01-01,7.4,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2018-01-01,8.5,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2019-01-01,9.0,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2020-01-01,7.5,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2021-01-01,7.3,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2022-01-01,6.2,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2023-01-01,5.4,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2024-01-01,6.9,,
ESTAT:ILC_DI11_R(1.0),24/04/26 23:00:00,A,INX,ITG1,2025-01-01,5.7,,
