DATAFLOW,LAST UPDATE,freq,sector,currency,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,A,ITG1,2000-01-01,287.7,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,B-E,ITG1,2000-01-01,3869.9,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,C,ITG1,2000-01-01,2171.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,F,ITG1,2000-01-01,591.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-I,ITG1,2000-01-01,2609.7,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-J,ITG1,2000-01-01,2766.6,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,J,ITG1,2000-01-01,156.8,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K,ITG1,2000-01-01,177.2,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K-N,ITG1,2000-01-01,4932.4,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,L,ITG1,2000-01-01,4153.6,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,M_N,ITG1,2000-01-01,601.6,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,O-Q,ITG1,2000-01-01,2471.4,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,O-U,ITG1,2000-01-01,2826.6,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,R-U,ITG1,2000-01-01,355.2,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,TOTAL,ITG1,2000-01-01,15274.7,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,A,ITG1,2001-01-01,240.2,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,B-E,ITG1,2001-01-01,3500.7,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,C,ITG1,2001-01-01,1812.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,F,ITG1,2001-01-01,465.7,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-I,ITG1,2001-01-01,3114.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-J,ITG1,2001-01-01,3256.9,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,J,ITG1,2001-01-01,142.9,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K,ITG1,2001-01-01,203.1,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K-N,ITG1,2001-01-01,4885.9,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,L,ITG1,2001-01-01,4068.4,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,M_N,ITG1,2001-01-01,614.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,O-Q,ITG1,2001-01-01,2822.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,O-U,ITG1,2001-01-01,3189.1,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,R-U,ITG1,2001-01-01,367.1,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,TOTAL,ITG1,2001-01-01,15538.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,A,ITG1,2002-01-01,280.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,B-E,ITG1,2002-01-01,3856.3,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,C,ITG1,2002-01-01,1765.2,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,F,ITG1,2002-01-01,472.3,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-I,ITG1,2002-01-01,2546.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,G-J,ITG1,2002-01-01,2671.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,J,ITG1,2002-01-01,125.5,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K,ITG1,2002-01-01,223.4,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,K-N,ITG1,2002-01-01,5366.2,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,L,ITG1,2002-01-01,4538.0,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,M_N,ITG1,2002-01-01,604.9,,
ESTAT:NAMA_10R_2GFCF(1.0),26/03/26 23:00:00,A,S1,MIO_EUR,O-Q,ITG1,2002-01-01,2850.2,,
