DATAFLOW,FREQ,TERRITORIAL_LEVEL,REF_AREA,TERRITORIAL_TYPE,MEASURE,ACTIVITY,PRICES,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,COUNTRY,OBS_STATUS,REF_YEAR_PRICE,UNIT_MULT,DECIMALS,CURRENCY
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2000-01-01,17015.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2001-01-01,17802.4,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2002-01-01,18218.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2003-01-01,18647.5,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2004-01-01,18750.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2005-01-01,19525.7,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2006-01-01,21068.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2007-01-01,21812.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2008-01-01,22730.3,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2009-01-01,22413.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2010-01-01,22343.0,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2011-01-01,22775.3,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2012-01-01,23002.4,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2013-01-01,23070.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2014-01-01,22580.1,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2015-01-01,23081.3,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2016-01-01,24646.7,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2017-01-01,25687.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2018-01-01,26209.2,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2019-01-01,28122.2,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2020-01-01,27276.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2021-01-01,30928.0,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2022-01-01,35674.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2023-01-01,36885.0,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),A,TL2,ITG1,_Z,GDP,_T,V,USD_PPP_PS,2024-01-01,38272.9,ITA,A,_Z,0,0,USD
