DATAFLOW,FREQ,TERRITORIAL_LEVEL,REF_AREA,TERRITORIAL_TYPE,MEASURE,ACTIVITY,PRICES,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,COUNTRY,OBS_STATUS,REF_YEAR_PRICE,UNIT_MULT,DECIMALS,CURRENCY
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2000-01-01,50597.3,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2001-01-01,52647.4,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2002-01-01,52951.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2003-01-01,53976.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2004-01-01,53667.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2005-01-01,54553.7,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2006-01-01,56677.4,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2007-01-01,59292.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2008-01-01,62647.9,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2009-01-01,62892.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2010-01-01,63601.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2011-01-01,65374.6,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2012-01-01,66995.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2013-01-01,68777.5,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2014-01-01,67329.8,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2015-01-01,68386.5,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2016-01-01,71834.2,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2017-01-01,74657.7,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2018-01-01,76321.5,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2019-01-01,80974.0,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2020-01-01,79365.7,ITA,A,_Z,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_LPR(2.4),A,TL2,ITG1,_Z,LAB_PROD,_T,V,USD_PPP_WR,2021-01-01,88346.9,ITA,A,_Z,0,0,USD
