DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,FR,2003-01-01,22.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,M,FR,2003-01-01,17.9,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,T,FR,2003-01-01,20.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,F,FR,2003-01-01,9.3,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,M,FR,2003-01-01,7.8,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,T,FR,2003-01-01,8.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,F,FR,2003-01-01,8.2,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,M,FR,2003-01-01,6.8,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,T,FR,2003-01-01,7.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,F,FR,2003-01-01,4.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,M,FR,2003-01-01,4.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,T,FR,2003-01-01,4.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,FR,2004-01-01,24.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,M,FR,2004-01-01,19.3,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,T,FR,2004-01-01,21.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,F,FR,2004-01-01,9.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,M,FR,2004-01-01,8.2,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-74,PC_ACT,T,FR,2004-01-01,8.9,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,F,FR,2004-01-01,8.3,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,M,FR,2004-01-01,7.0,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y25-54,PC_ACT,T,FR,2004-01-01,7.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,F,FR,2004-01-01,5.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,M,FR,2004-01-01,4.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y55-74,PC_ACT,T,FR,2004-01-01,4.9,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,FR,2005-01-01,25.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,SE,2005-01-01,22.0,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,M,FR,2005-01-01,19.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,M,SE,2005-01-01,22.3,,
