DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,AT,2000-01-01,59.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,BE,2000-01-01,51.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,BG,2000-01-01,47.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CH,2000-01-01,69.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CY,2000-01-01,53.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CZ,2000-01-01,56.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,DE,2000-01-01,57.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,DK,2000-01-01,72.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,EE,2000-01-01,58.3,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,EL,2000-01-01,41.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,ES,2000-01-01,41.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,FI,2000-01-01,65.2,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,FR,2000-01-01,54.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,HU,2000-01-01,49.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IE,2000-01-01,53.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IS,2000-01-01,83.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IT,2000-01-01,39.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LT,2000-01-01,58.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LU,2000-01-01,50.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LV,2000-01-01,53.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,MT,2000-01-01,33.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,NL,2000-01-01,63.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,NO,2000-01-01,73.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,PL,2000-01-01,49.3,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,PT,2000-01-01,60.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,RO,2000-01-01,59.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SE,2000-01-01,69.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SI,2000-01-01,58.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SK,2000-01-01,51.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,UK,2000-01-01,64.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,AT,2000-01-01,52.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,BE,2000-01-01,44.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,BG,2000-01-01,40.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CH,2000-01-01,62.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CY,2000-01-01,48.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CZ,2000-01-01,50.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,DE,2000-01-01,50.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,DK,2000-01-01,63.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,EE,2000-01-01,51.4,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,EL,2000-01-01,36.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,ES,2000-01-01,35.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,FI,2000-01-01,57.4,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,FR,2000-01-01,47.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,HU,2000-01-01,42.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IE,2000-01-01,48.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IS,2000-01-01,77.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IT,2000-01-01,34.0,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LT,2000-01-01,51.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LU,2000-01-01,43.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LV,2000-01-01,46.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,MT,2000-01-01,29.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,NL,2000-01-01,56.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,NO,2000-01-01,66.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,PL,2000-01-01,44.0,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,PT,2000-01-01,54.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,RO,2000-01-01,56.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,SE,2000-01-01,61.7,,
