DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,AT,2000-01-01,29.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,BE,2000-01-01,35.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,CH,2000-01-01,44.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,CY,2000-01-01,20.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,CZ,2000-01-01,13.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,DE,2000-01-01,49.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,DK,2000-01-01,26.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,EL,2000-01-01,32.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,ES,2000-01-01,68.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,FI,2000-01-01,54.4,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,FR,2000-01-01,53.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,HU,2000-01-01,12.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,IE,2000-01-01,15.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,IS,2000-01-01,11.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,IT,2000-01-01,28.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,LT,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,LU,2000-01-01,13.4,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,LV,2000-01-01,9.8,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,MT,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,NL,2000-01-01,36.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,NO,2000-01-01,30.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,PL,2000-01-01,14.1,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,PT,2000-01-01,45.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,RO,2000-01-01,9.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,SE,2000-01-01,51.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,SI,2000-01-01,45.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,SK,2000-01-01,8.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,TOTAL,UK,2000-01-01,13.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,AT,2000-01-01,18.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,BE,2000-01-01,23.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,BG,2000-01-01,,u,
