DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,AT,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,BE,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,CH,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,CY,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,CZ,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,DE,2000-01-01,12.0,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,DK,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,EE,2000-01-01,,bu,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,EL,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,ES,2000-01-01,23.1,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,FI,2000-01-01,18.2,b,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,FR,2000-01-01,39.5,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,HU,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,IE,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,IS,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,IT,2000-01-01,54.2,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,LT,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,LU,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,LV,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,MT,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,NL,2000-01-01,3.3,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,NO,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,PL,2000-01-01,,bu,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,PT,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,RO,2000-01-01,60.1,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,SE,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,SI,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,SK,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-19,UK,2000-01-01,7.7,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,AT,2000-01-01,26.3,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,BE,2000-01-01,47.0,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,CH,2000-01-01,6.4,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,CY,2000-01-01,43.6,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,CZ,2000-01-01,14.8,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,DE,2000-01-01,18.6,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,DK,2000-01-01,9.8,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,EE,2000-01-01,,bu,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,EL,2000-01-01,53.5,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,ES,2000-01-01,30.0,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,FI,2000-01-01,24.1,b,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,FR,2000-01-01,44.8,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,HU,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,IE,2000-01-01,9.9,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,IS,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,IT,2000-01-01,52.8,,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,LT,2000-01-01,,u,
ESTAT:LFSA_EPPGAI(1.0),17/04/26 11:00:00,A,PC,F,Y15-24,LU,2000-01-01,,u,
