DATAFLOW,LAST UPDATE,freq,nace_r2,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,CZ,2010-01-01,1.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,EE,2010-01-01,1.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,HU,2010-01-01,0.4,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,LT,2010-01-01,0.4,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,LU,2010-01-01,0.8,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,LV,2010-01-01,0.5,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_3Y,SK,2010-01-01,0.2,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,BG,2010-01-01,1.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,CZ,2010-01-01,0.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,EE,2010-01-01,0.7,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,FI,2010-01-01,2.0,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,HR,2010-01-01,0.2,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,HU,2010-01-01,0.3,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,LT,2010-01-01,0.2,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,LU,2010-01-01,0.7,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,LV,2010-01-01,0.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,NO,2010-01-01,0.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,PL,2010-01-01,0.3,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,RO,2010-01-01,0.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,SE,2010-01-01,0.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,GE10,AVG_A,SK,2010-01-01,0.2,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,CZ,2010-01-01,2.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,EE,2010-01-01,1.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,HU,2010-01-01,0.5,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,LT,2010-01-01,0.4,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,LU,2010-01-01,0.6,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,LV,2010-01-01,0.4,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,NL,2010-01-01,1.5,p,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_3Y,SK,2010-01-01,0.3,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,BE,2010-01-01,5.0,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,BG,2010-01-01,1.0,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,CZ,2010-01-01,1.0,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,EE,2010-01-01,0.8,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,FI,2010-01-01,2.9,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,HU,2010-01-01,0.3,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,LT,2010-01-01,0.2,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,LU,2010-01-01,0.7,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,LV,2010-01-01,0.1,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,NL,2010-01-01,1.0,p,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,NO,2010-01-01,1.0,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,PL,2010-01-01,0.5,,
ESTAT:JVS_A_RATE_R2(1.0),20/03/26 23:00:00,A,A,TOTAL,AVG_A,RO,2010-01-01,0.9,,
