DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,AT,2015-01-01,188.0,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,BE,2015-01-01,53.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,BG,2015-01-01,207.9,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,CH,2015-01-01,151.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,CY,2015-01-01,14.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,CZ,2015-01-01,147.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,DE,2015-01-01,560.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,DK,2015-01-01,67.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,EA21,2015-01-01,5018.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,EE,2015-01-01,25.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,EL,2015-01-01,465.7,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,ES,2015-01-01,736.8,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,EU27_2020,2015-01-01,9570.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,FI,2015-01-01,102.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,A,FR,2015-01-01,708.6,,
