DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,TIME_PERIOD,OBS_VALUE,BASE_PER,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),AUS,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,57806.507,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),AUT,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,66028.413,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),BEL,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,69596.967,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),CAN,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,55365.75,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),CHL,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,23827.814,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),CRI,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,25111.405,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),CZE,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,22209.995,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),DNK,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,57499.691,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),EST,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,16215.205,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),FIN,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,50356.433,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),FRA,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,50645.173,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),DEU,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,59354.424,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),GRC,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,34401.754,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),HUN,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,20062.623,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),ISL,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,67326.245,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),IRL,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,45898.423,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),ISR,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,49303.745,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),ITA,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,52237.08,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),JPN,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,50109.108,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),KOR,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,34917.22,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LVA,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,15604.122,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LTU,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,19105.341,2024,A,0,0
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX,WG,USD_PPP,A,Q,MEAN,_Z,2000-01-01,73914.368,2024,A,0,0
