DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,TIME_PERIOD,OBS_VALUE,BASE_PER,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUS,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,20.333715185,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUT,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,28.297638815,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),BEL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,17.474916388,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CAN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,23.393368809,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CHL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,12.825993206,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,24.229844655,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,34.501187648,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,11.917628328,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,14.524922118,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),SWE,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,17.567567568,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CHE,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,26.849333785,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),GBR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,27.628962753,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,26.984126984,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),EU27,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,20.4143715910391,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),EU19OECD,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,20.8680761485625,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),OECD,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,21.2654899632435,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),HUN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,21.01301752,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),KOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,39.43315537,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),FIN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,23.32688588,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CZE,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,0.0,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),POL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2000-01-01,0.0,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUS,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,19.688542825,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUT,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,28.043966888,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),BEL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,16.107114309,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CAN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,23.306417655,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),FIN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,19.844517185,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,23.292244637,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),HUN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,20.713740883,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),ISR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,31.595215803,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),KOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,39.136139655,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,13.746802664,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,14.477112021,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),POL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,18.155180786,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),SWE,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,17.596566524,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),GBR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,27.123949593,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,27.083333333,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),EU27,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,20.1951391313864,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),EU19OECD,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,20.6647939706765,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),OECD,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,21.1411249677773,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CZE,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,21.92666932,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2001-01-01,34.72262988,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUS,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,17.395933825,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),AUT,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,27.392458842,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),BEL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,14.986160538,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),CAN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,22.123829395,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),DNK,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,14.599405876,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),EST,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,27.196339356,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),FIN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,19.596199525,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,17.163638792,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,22.546376738,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),HUN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,16.631649916,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),ISL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,27.030821303,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),IRL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,19.125025096,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),ISR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,29.724020981,,A,0,1
OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),ITA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEAN,_T,2002-01-01,18.221994764,,A,0,1
