DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_EDITION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2013-01-01,12.128515,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2013-01-01,12.130711,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2013-01-01,12.130405,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M9G13,2013-01-01,12.129225,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M12G13,2013-01-01,12.09799,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M3G15,2013-01-01,12.095255,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M6G13,2013-01-01,12.096098,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M9G13,2013-01-01,12.097441,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M12G12,2013-01-01,12.044556,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M3G13,2013-01-01,12.040706,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M6G13,2013-01-01,12.039927,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M9G12,2013-01-01,12.044323,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M12G11,2013-01-01,12.079945,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M3G13,2013-01-01,12.081952,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M6G12,2013-01-01,12.082068,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M9G12,2013-01-01,12.07871,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2026M3G12,2013-01-01,12.085431,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2013-04-01,12.34514,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2013-04-01,12.343291,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2013-04-01,12.343465,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M9G13,2013-04-01,12.344368,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M12G13,2013-04-01,12.342071,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M3G15,2013-04-01,12.342997,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M6G13,2013-04-01,12.34202,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M9G13,2013-04-01,12.340921,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M12G12,2013-04-01,12.347887,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M3G13,2013-04-01,12.350563,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M6G13,2013-04-01,12.34994,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M9G12,2013-04-01,12.350481,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M12G11,2013-04-01,12.334905,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M3G13,2013-04-01,12.334235,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M6G12,2013-04-01,12.332856,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M9G12,2013-04-01,12.334739,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2026M3G12,2013-04-01,12.327733,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2013-07-01,12.362766,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2013-07-01,12.361906,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2013-07-01,12.36266,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M9G13,2013-07-01,12.363246,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M12G13,2013-07-01,12.392591,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M3G15,2013-07-01,12.395945,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M6G13,2013-07-01,12.393982,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M9G13,2013-07-01,12.393724,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M12G12,2013-07-01,12.455492,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M3G13,2013-07-01,12.460808,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M6G13,2013-07-01,12.460193,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M9G12,2013-07-01,12.457112,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M12G11,2013-07-01,12.431706,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M3G13,2013-07-01,12.421728,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M6G12,2013-07-01,12.422843,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M9G12,2013-07-01,12.430586,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2026M3G12,2013-07-01,12.433579,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2013-10-01,12.571048,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2013-10-01,12.572347,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2013-10-01,12.572575,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M9G13,2013-10-01,12.571696,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M12G13,2013-10-01,12.571472,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M3G15,2013-10-01,12.569154,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M6G13,2013-10-01,12.572256,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M9G13,2013-10-01,12.573332,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M12G12,2013-10-01,12.589428,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M3G13,2013-10-01,12.585519,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M6G13,2013-10-01,12.587492,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M9G12,2013-10-01,12.586343,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M12G11,2013-10-01,12.595851,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M3G13,2013-10-01,12.604505,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M6G12,2013-10-01,12.60418,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M9G12,2013-10-01,12.597671,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2026M3G12,2013-10-01,12.59166,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2014-01-01,12.92647,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2014-01-01,12.928297,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2014-01-01,12.926191,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M9G13,2014-01-01,12.926008,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M12G13,2014-01-01,12.920273,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M3G15,2014-01-01,12.919024,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M6G13,2014-01-01,12.919048,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2023M9G13,2014-01-01,12.91902,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M12G12,2014-01-01,12.881661,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M3G13,2014-01-01,12.87898,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M6G13,2014-01-01,12.878404,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2024M9G12,2014-01-01,12.87754,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M12G11,2014-01-01,12.896228,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M3G13,2014-01-01,12.899193,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M6G12,2014-01-01,12.89917,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2025M9G12,2014-01-01,12.896501,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2026M3G12,2014-01-01,12.902575,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M12G14,2014-04-01,12.645033,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M3G11,2014-04-01,12.641092,,,,,,,,,,,
IT1:151_884(1.0),Q,IT,UNEM_R,9,Y15-74,2022M6G13,2014-04-01,12.642454,,,,,,,,,,,
