DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,B9,DE,1995-01-01,-9.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,B9,IT,1995-01-01,-7.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,D41PAY,DE,1995-01-01,3.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,D41PAY,IT,1995-01-01,11.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD,DE,1995-01-01,54.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD,IT,1995-01-01,119.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F2,DE,1995-01-01,0.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F2,IT,1995-01-01,11.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F3,DE,1995-01-01,30.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F3,IT,1995-01-01,99.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F31,DE,1995-01-01,0.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F31,IT,1995-01-01,21.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F32,DE,1995-01-01,30.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F32,IT,1995-01-01,78.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F4,DE,1995-01-01,23.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F4,IT,1995-01-01,8.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F41,DE,1995-01-01,0.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F41,IT,1995-01-01,0.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F42,DE,1995-01-01,22.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F42,IT,1995-01-01,7.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,P51G,DE,1995-01-01,2.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,P51G,IT,1995-01-01,2.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,B9,DE,1996-01-01,-3.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,B9,IT,1996-01-01,-6.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,D41PAY,DE,1996-01-01,3.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,D41PAY,IT,1996-01-01,11.0,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD,DE,1996-01-01,57.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD,IT,1996-01-01,118.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F2,DE,1996-01-01,0.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F2,IT,1996-01-01,11.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F3,DE,1996-01-01,32.3,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F3,IT,1996-01-01,99.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,A,PC_GDP,S13,GD_F31,DE,1996-01-01,0.7,,
