DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2012-01-01,33.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2012-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2012-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2012-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BG,2012-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CH,2012-01-01,86.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CY,2012-01-01,66.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CZ,2012-01-01,49.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DE,2012-01-01,79.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DK,2012-01-01,90.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EA21,2012-01-01,62.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EE,2012-01-01,64.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EL,2012-01-01,36.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2012-01-01,65.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2012-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2012-01-01,90.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2012-01-01,71.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2012-01-01,46.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2012-01-01,55.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2012-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IS,2012-01-01,82.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IT,2012-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,JP,2012-01-01,74.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,KR,2012-01-01,56.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LT,2012-01-01,54.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LU,2012-01-01,80.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LV,2012-01-01,49.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ME,2012-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MK,2012-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MT,2012-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NL,2012-01-01,84.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NO,2012-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PL,2012-01-01,58.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PT,2012-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RO,2012-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RS,2012-01-01,39.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RU,2012-01-01,28.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SE,2012-01-01,88.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SI,2012-01-01,61.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SK,2012-01-01,46.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,TR,2012-01-01,49.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,UK,2012-01-01,74.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,US,2012-01-01,73.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,XK,2012-01-01,34.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2013-01-01,31.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2013-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2013-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2013-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BG,2013-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CH,2013-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CY,2013-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CZ,2013-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DE,2013-01-01,78.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DK,2013-01-01,91.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EA21,2013-01-01,62.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EE,2013-01-01,68.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EL,2013-01-01,40.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2013-01-01,59.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2013-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2013-01-01,89.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2013-01-01,71.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2013-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2013-01-01,54.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2013-01-01,72.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IS,2013-01-01,78.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IT,2013-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,JP,2013-01-01,74.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,KR,2013-01-01,55.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LT,2013-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LU,2013-01-01,80.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LV,2013-01-01,53.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ME,2013-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MK,2013-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MT,2013-01-01,56.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NL,2013-01-01,83.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NO,2013-01-01,86.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PL,2013-01-01,60.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PT,2013-01-01,62.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RO,2013-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RS,2013-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RU,2013-01-01,28.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SE,2013-01-01,89.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SI,2013-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SK,2013-01-01,47.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,TR,2013-01-01,50.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,UK,2013-01-01,76.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,US,2013-01-01,73.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,XK,2013-01-01,33.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2014-01-01,33.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2014-01-01,72.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2014-01-01,39.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2014-01-01,76.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BG,2014-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CH,2014-01-01,86.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CY,2014-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CZ,2014-01-01,51.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DE,2014-01-01,79.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DK,2014-01-01,92.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EA21,2014-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EE,2014-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EL,2014-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2014-01-01,60.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2014-01-01,64.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2014-01-01,89.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2014-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2014-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2014-01-01,54.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2014-01-01,74.0,,
