DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,AL,2016-01-01,35.89,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,AT,2016-01-01,36.22,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,BE,2016-01-01,45.6,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,BG,2016-01-01,3.12,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CH,2016-01-01,45.02,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CY,2016-01-01,4.83,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CZ,2016-01-01,28.04,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,DE,2016-01-01,7.91,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,DK,2016-01-01,91.92,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,ES,2016-01-01,2.46,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,FI,2016-01-01,66.83,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,FR,2016-01-01,3.01,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,HR,2016-01-01,21.6,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,HU,2016-01-01,11.85,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,IT,2016-01-01,35.12,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LI,2016-01-01,10.63,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LT,2016-01-01,26.35,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LU,2016-01-01,0.87,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LV,2016-01-01,14.58,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,ME,2016-01-01,12.86,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,MT,2016-01-01,1.11,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,NL,2016-01-01,40.67,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,NO,2016-01-01,0.88,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,PL,2016-01-01,18.68,,
