DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,AT,2010-01-01,1.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,BE,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,BG,2010-01-01,2.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,CH,2010-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,CY,2010-01-01,2.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,CZ,2010-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,DE,2010-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,DK,2010-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EA19,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EA20,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EA21,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EE,2010-01-01,2.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EL,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,ES,2010-01-01,2.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,EU27_2020,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,FI,2010-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,FR,2010-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,HR,2010-01-01,2.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,HU,2010-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,IE,2010-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,IS,2010-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,IT,2010-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,LT,2010-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,LU,2010-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,LV,2010-01-01,2.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,MT,2010-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,NL,2010-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,NO,2010-01-01,0.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,PL,2010-01-01,2.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,PT,2010-01-01,2.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,RO,2010-01-01,2.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,SE,2010-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,SI,2010-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF03,TE,SK,2010-01-01,2.6,p,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,AT,2010-01-01,0.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,BE,2010-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,BG,2010-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,CH,2010-01-01,0.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,CY,2010-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF0301,TE,CZ,2010-01-01,1.0,,
