DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,applicant,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-01-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-01-01,20.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-01-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-01-01,1685.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-01-01,370.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-01-01,1170.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-02-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-02-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-02-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-02-01,1725.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-02-01,440.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-02-01,1105.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-03-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-03-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-03-01,15.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-03-01,1505.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-03-01,335.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-03-01,1800.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-04-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-04-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-04-01,15.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-04-01,1715.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-04-01,460.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-04-01,1780.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-05-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-05-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-05-01,35.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-05-01,1790.0,,
