DATAFLOW,REF_AREA,CITIZENSHIP,FREQ,MEASURE,SEX,BIRTH_PLACE,EDUCATION_LEV,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,1997-01-01,6898.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,1998-01-01,10557.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,1998-01-01,7329.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,1999-01-01,14904.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,1999-01-01,19350.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2000-01-01,38344.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2000-01-01,20093.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2001-01-01,39517.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2001-01-01,17267.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2002-01-01,40172.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2002-01-01,15327.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2003-01-01,41171.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2003-01-01,40821.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2004-01-01,73380.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2004-01-01,34792.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2005-01-01,82519.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2005-01-01,26057.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2006-01-01,21784.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2006-01-01,78512.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2007-01-01,84978.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2007-01-01,23483.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2008-01-01,37275.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2008-01-01,71761.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2009-01-01,43178.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2009-01-01,33128.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2010-01-01,30169.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2010-01-01,29960.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2011-01-01,23885.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2011-01-01,27978.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),GRC,MAR,A,B11,_T,_Z,_Z,PS,2012-01-01,,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2012-01-01,19590.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2012-01-01,22444.41988,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),GRC,MAR,A,B11,_T,_Z,_Z,PS,2013-01-01,,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2013-01-01,20515.73245,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2013-01-01,19568.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2014-01-01,19993.6121,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2014-01-01,17637.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2015-01-01,15009.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2015-01-01,23830.64382,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2016-01-01,29711.76454,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2016-01-01,14651.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2017-01-01,15690.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2017-01-01,39841.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2018-01-01,60935.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2018-01-01,16941.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2019-01-01,72866.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2019-01-01,20281.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ESP,MAR,A,B11,_T,_Z,_Z,PS,2020-01-01,44940.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2020-01-01,12480.0,A,0,0
OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),ITA,MAR,A,B11,_T,_Z,_Z,PS,2021-01-01,15372.0,A,0,0
