DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2008-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2008-01-01,493630.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2008-01-01,60.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2008-01-01,1315.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2008-01-01,493705.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2008-01-01,1820.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2008-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2008-01-01,2705.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2008-01-01,110.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2008-01-01,210.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2008-01-01,2785.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2008-01-01,1445.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2009-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2009-01-01,375880.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2009-01-01,1875.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2009-01-01,375905.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2009-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2009-01-01,1115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2009-01-01,60.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2009-01-01,385.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2009-01-01,1165.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2009-01-01,1190.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2010-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2010-01-01,281555.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2010-01-01,3225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2010-01-01,281750.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2010-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2010-01-01,195.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2010-01-01,35.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2010-01-01,165.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2010-01-01,230.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2010-01-01,1270.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2011-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2011-01-01,219455.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2011-01-01,10470.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2011-01-01,219465.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2011-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2011-01-01,220.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2011-01-01,40.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2011-01-01,225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2011-01-01,250.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2011-01-01,4345.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2012-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2012-01-01,194115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2012-01-01,8690.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2012-01-01,194150.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2012-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2012-01-01,480.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2012-01-01,35.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2012-01-01,220.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2012-01-01,510.0,,
